label_name,feature_type,C,tol,train_f1_score,val_f1_score
parties,original,1.0,0.0001,0.07061763165551156,0.10541797347262057
parties,original,1.0,0.001,0.07061763165551156,0.10541797347262057
parties,original,1.0,0.01,0.07061748335530733,0.10577631422042755
parties,original,1.0,0.1,0.07035096505334341,0.10380527773053298
parties,minmax,0.1,0.0001,0.07589027337670462,0.1162147229511807
parties,minmax,0.1,0.001,0.07589027337670462,0.1162147229511807
parties,minmax,0.1,0.01,0.07589045417866949,0.11625228641031762
parties,minmax,0.1,0.1,0.0759290371956286,0.11626050941828452
parties,minmax,0.25,0.0001,0.11374827940826712,0.1223011771310755
parties,minmax,0.25,0.001,0.11374827940826712,0.1223011771310755
parties,minmax,0.25,0.01,0.11374827940826712,0.1223011771310755
parties,minmax,0.25,0.1,0.11360975008051821,0.12227160378230806
parties,minmax,0.5,0.0001,0.18248093165014675,0.13264260112694243
parties,minmax,0.5,0.001,0.18248093165014675,0.13264260112694243
parties,minmax,0.5,0.01,0.18205125174882078,0.13277563882095572
parties,minmax,0.5,0.1,0.18227468337862757,0.13346874285401295
parties,minmax,0.75,0.0001,0.24325528991207138,0.17279093159316986
parties,minmax,0.75,0.001,0.24325528991207138,0.17279093159316986
parties,minmax,0.75,0.01,0.24392524108588187,0.17279093159316986
parties,minmax,0.75,0.1,0.2375996401316253,0.16448384214282524
parties,minmax,1.0,0.0001,0.31341635063271134,0.17509692396698084
parties,minmax,1.0,0.001,0.31341635063271134,0.17509692396698084
parties,minmax,1.0,0.01,0.3087483982494008,0.17509692396698084
parties,minmax,1.0,0.1,0.31786829042061615,0.17290669438610357
positions,scaled,0.1,0.0001,0.9283570360748055,0.3529255425823698
positions,scaled,0.1,0.001,0.9283570360748055,0.3529255425823698
positions,scaled,0.1,0.01,0.9283570360748055,0.3529255425823698
positions,scaled,0.1,0.1,0.9274964652342141,0.3529255425823698
positions,scaled,0.25,0.0001,0.9666063454863061,0.384204707238739
positions,scaled,0.25,0.001,0.9666063454863061,0.384204707238739
positions,scaled,0.25,0.01,0.9666063454863061,0.384204707238739
positions,scaled,0.25,0.1,0.967196882305194,0.3673396278736597
positions,scaled,0.5,0.0001,0.9933289636338598,0.3635600056564657
positions,scaled,0.5,0.001,0.9933289636338598,0.3635600056564657
positions,scaled,0.5,0.01,0.9933289636338598,0.3635600056564657
positions,scaled,0.5,0.1,0.9933289636338598,0.3637588142184521
positions,scaled,0.75,0.0001,0.9975959350407034,0.36064942751737283
positions,scaled,0.75,0.001,0.9975959350407034,0.36064942751737283
positions,scaled,0.75,0.01,0.9975959350407034,0.36064942751737283
positions,scaled,0.75,0.1,0.9975959350407034,0.36289279182626677
positions,scaled,1.0,0.0001,0.9995643095399525,0.3573618551202114
