label_name,feature_type,kernel,C,tol,train_f1_score,val_f1_score
coalitions,minmax,poly,0.25,0.001,0.6472216863542033,0.34297810562877634
coalitions,minmax,rbf,0.25,0.001,0.1091414506167955,0.10720897037519288
coalitions,minmax,sigmoid,0.25,0.001,0.1003400772842036,0.10033538894298386
coalitions,minmax,linear,0.25,0.01,0.4195508898894982,0.24765516289311834
coalitions,minmax,poly,0.25,0.01,0.6472919617506279,0.34297810562877634
coalitions,minmax,rbf,0.25,0.01,0.1091414506167955,0.10720897037519288
coalitions,minmax,sigmoid,0.25,0.01,0.1003400772842036,0.10033538894298386
coalitions,minmax,linear,0.25,0.1,0.41717581450230545,0.24687996909466872
coalitions,minmax,poly,0.25,0.1,0.645492847359115,0.338467277018598
coalitions,minmax,rbf,0.25,0.1,0.11048497568128549,0.10919402236024486
coalitions,minmax,sigmoid,0.25,0.1,0.1003400772842036,0.10033538894298386
coalitions,minmax,linear,0.5,0.0001,0.6002128194058127,0.334917341147097
coalitions,minmax,poly,0.5,0.0001,0.8271168061841155,0.40294457356641117
coalitions,minmax,rbf,0.5,0.0001,0.20220363022771531,0.1847982048820731
coalitions,minmax,sigmoid,0.5,0.0001,0.1003400772842036,0.10033538894298386
coalitions,minmax,linear,0.5,0.001,0.600123884775099,0.334917341147097
coalitions,minmax,poly,0.5,0.001,0.8271168061841155,0.40294457356641117
coalitions,minmax,rbf,0.5,0.001,0.20220363022771531,0.1847982048820731
coalitions,minmax,sigmoid,0.5,0.001,0.1003400772842036,0.10033538894298386
coalitions,minmax,linear,0.5,0.01,0.6005551533370296,0.334917341147097
coalitions,minmax,poly,0.5,0.01,0.8273075868938747,0.40169036481220244
coalitions,minmax,rbf,0.5,0.01,0.20220074065527238,0.18479975606329763
coalitions,minmax,sigmoid,0.5,0.01,0.1003400772842036,0.10033538894298386
coalitions,minmax,linear,0.5,0.1,0.6036283349977495,0.34084511083471714
coalitions,minmax,poly,0.5,0.1,0.8294331472115111,0.40742390255507865
coalitions,minmax,rbf,0.5,0.1,0.20200500683983566,0.18394376649618596
coalitions,minmax,sigmoid,0.5,0.1,0.1003400772842036,0.10033538894298386
coalitions,minmax,linear,0.75,0.0001,0.7258303443240743,0.3745690634020594
coalitions,minmax,poly,0.75,0.0001,0.901210252350538,0.44890626101537034
coalitions,minmax,rbf,0.75,0.0001,0.22714709688339602,0.2018419389317913
coalitions,minmax,sigmoid,0.75,0.0001,0.1003400772842036,0.10033538894298386
coalitions,minmax,linear,0.75,0.001,0.7258303443240743,0.3745690634020594
coalitions,minmax,poly,0.75,0.001,0.9013009094660308,0.44890626101537034
coalitions,minmax,rbf,0.75,0.001,0.22714709688339602,0.2018419389317913
coalitions,minmax,sigmoid,0.75,0.001,0.1003400772842036,0.10033538894298386
coalitions,minmax,linear,0.75,0.01,0.725920046542927,0.3755696818312492
coalitions,minmax,poly,0.75,0.01,0.9012945028107247,0.44890626101537034
coalitions,minmax,rbf,0.75,0.01,0.22714639664919806,0.2018419389317913
coalitions,minmax,sigmoid,0.75,0.01,0.1003400772842036,0.10033538894298386
coalitions,minmax,linear,0.75,0.1,0.723811511215394,0.3779920656784051
coalitions,minmax,poly,0.75,0.1,0.9002798150084699,0.44221550861751047
coalitions,minmax,rbf,0.75,0.1,0.22696544537527644,0.2000710552949029
coalitions,minmax,sigmoid,0.75,0.1,0.1003400772842036,0.10033538894298386
coalitions,minmax,linear,1.0,0.0001,0.7913748839501071,0.4002050209817144
coalitions,minmax,poly,1.0,0.0001,0.9365643580512852,0.4687620742555746
coalitions,minmax,rbf,1.0,0.0001,0.2459848197464829,0.20605210219180597
coalitions,minmax,sigmoid,1.0,0.0001,0.1003400772842036,0.10033538894298386
coalitions,minmax,linear,1.0,0.001,0.7913748839501071,0.4002050209817144
coalitions,minmax,poly,1.0,0.001,0.9365643580512852,0.4687620742555746
coalitions,minmax,rbf,1.0,0.001,0.2459848197464829,0.20605210219180597
coalitions,minmax,sigmoid,1.0,0.001,0.1003400772842036,0.10033538894298386
coalitions,minmax,linear,1.0,0.01,0.7888215629251182,0.4002050209817144
coalitions,minmax,poly,1.0,0.01,0.9365643580512852,0.4687620742555746
coalitions,minmax,rbf,1.0,0.01,0.24607086882863163,0.2060250307433654
coalitions,minmax,sigmoid,1.0,0.01,0.1003400772842036,0.10033538894298386
coalitions,minmax,linear,1.0,0.1,0.787983611249244,0.4022547559931219
coalitions,minmax,poly,1.0,0.1,0.9368562922580363,0.4670160425095428
coalitions,minmax,rbf,1.0,0.1,0.24551804792272294,0.20607612188413502
coalitions,minmax,sigmoid,1.0,0.1,0.1003400772842036,0.10033538894298386
parties,scaled,linear,0.1,0.0001,0.9951375063375638,0.21079425714273517
parties,scaled,poly,0.1,0.0001,0.05181801660158232,0.04836856164851534
parties,scaled,rbf,0.1,0.0001,0.026624994504461496,0.04428533907985962
parties,scaled,sigmoid,0.1,0.0001,0.02782318904275971,0.04542874703027806
parties,scaled,linear,0.1,0.001,0.9951375063375638,0.21079425714273517
parties,scaled,poly,0.1,0.001,0.05181801660158232,0.04836856164851534
parties,scaled,rbf,0.1,0.001,0.026624994504461496,0.04428533907985962
parties,scaled,sigmoid,0.1,0.001,0.027826091731906043,0.04542874703027806
parties,scaled,linear,0.1,0.01,0.9951375063375638,0.21079425714273517
parties,scaled,poly,0.1,0.01,0.05181801660158232,0.04836856164851534
parties,scaled,rbf,0.1,0.01,0.026624994504461496,0.04428533907985962
parties,scaled,sigmoid,0.1,0.01,0.02782392383205632,0.04542874703027806
parties,scaled,linear,0.1,0.1,0.9951375063375638,0.2131724342267353
parties,scaled,poly,0.1,0.1,0.05181801660158232,0.04836856164851534
parties,scaled,rbf,0.1,0.1,0.026626511848920443,0.04428533907985962
parties,scaled,sigmoid,0.1,0.1,0.028195599737169563,0.04577464147435168
parties,scaled,linear,0.25,0.0001,0.9999673281323631,0.21504644409087637
parties,scaled,poly,0.25,0.0001,0.10790679849300552,0.04870369137688509
parties,scaled,rbf,0.25,0.0001,0.05469626245183248,0.08339915987464634
parties,scaled,sigmoid,0.25,0.0001,0.05231125068794912,0.08002938194738521
parties,scaled,linear,0.25,0.001,0.9999673281323631,0.21504644409087637
parties,scaled,poly,0.25,0.001,0.10790679849300552,0.04870369137688509
parties,scaled,rbf,0.25,0.001,0.0546956118446353,0.08339915987464634
parties,scaled,sigmoid,0.25,0.001,0.052306531487887206,0.08043766597105385
parties,scaled,linear,0.25,0.01,0.9999673281323631,0.21504644409087637
parties,scaled,poly,0.25,0.01,0.10790679849300552,0.04870369137688509
parties,scaled,rbf,0.25,0.01,0.05467754292342619,0.08339915987464634
parties,scaled,sigmoid,0.25,0.01,0.05225930873331436,0.08043766597105385
parties,scaled,linear,0.25,0.1,0.9999673281323631,0.21555686672323932
parties,scaled,poly,0.25,0.1,0.10819089880055177,0.04870369137688509
parties,scaled,rbf,0.25,0.1,0.05459261867490871,0.08345461154639484
parties,scaled,sigmoid,0.25,0.1,0.052687137948598625,0.08128108723550752
parties,scaled,linear,0.5,0.0001,1.0,0.21511484078323534
parties,scaled,poly,0.5,0.0001,0.1548041318750726,0.06480226064784889
parties,scaled,rbf,0.5,0.0001,0.06155146260067333,0.09146314412482844
parties,scaled,sigmoid,0.5,0.0001,0.05597996243267441,0.09162846113507127
parties,scaled,linear,0.5,0.001,1.0,0.21511484078323534
parties,scaled,poly,0.5,0.001,0.1548041318750726,0.06480226064784889
parties,scaled,rbf,0.5,0.001,0.06155146260067333,0.09146314412482844
